SubjectID,G,age.tested,hand,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,towre.w.ipm,towre.nw.ipm,wj3.watt.raw,wj3.oralcomp.raw,wj3.rcomp.raw,wj3.wid.raw,wj3.rf.ipm,celf.rs.raw,celf.fs.raw,ctopp2.rapid.naming.comp,Wasi.vocab.raw,wj3.rcomp.ss
188,Male,19.33,18,54,222,43,24,119,132.00,66.67,31,30,43,75,43.88,95,54,104,43,116
189,Female,22.92,16,50,223,47,25,129,126.67,89.76,32,33,46,74,41.74,96,56,70,47,129
190,Female,21.62,10,42,209,34,23,99,122.67,87.06,30,26,41,69,31.33,85,52,95,34,108
191,Male,18.67,-4,,196,32,15,81,,,22,19,33,68,14.00,54,52,,32,86
192,Female,21.86,24,,,,,,118.67,77.33,,,,,,,,,,
193,Female,22.79,-7,45,199,39,22,106,106.67,66.67,30,27,37,73,24.00,90,55,113,39,97
194,Female,20.68,19,48,210,41,22,107,110.67,86.51,30,29,38,75,32.85,94,54,107,41,100
195,Female,22.11,17,34,195,41,21,105,130.67,60.00,29,28,38,69,24.33,87,55,113,41,100
197,Female,24.04,,,,,,,140.45,81.33,,,,,,,,,,
201,Female,22.85,24,20,191,35,16,86,106.67,62.67,25,25,38,66,21.67,89,54,79,35,100
202,Female,22.83,15,37,176,36,20,95,109.33,28.00,20,23,29,58,11.00,73,52,73,36,80
203,Male,20.90,15,54,215,43,20,107,129.33,66.67,29,28,45,68,28.67,84,56,104,43,124
204,Female,22.18,-11,28,187,35,19,92,96.00,65.33,21,25,36,61,17.33,71,52,64,35,95
205,Male,17.05,10,14,152,,8,25,88.00,32.00,19,18,32,58,15.67,49,53,101,,83
206,Female,24.84,,,,,,,125.33,80.00,29,,45,71,34.39,,,,,121
207,Female,23.33,14,46,220,47,29,146,147.52,93.02,30,31,43,76,44.89,88,56,113,47,114
208,Male,23.49,14,59,213,46,21,115,129.33,107.63,26,32,42,74,47.80,96,56,98,46,110
209,Female,22.41,10,32,197,40,22,105,113.33,64.00,27,27,37,67,27.67,89,54,79,40,97
210,Female,24.06,23,15,148,27,6,57,77.33,4.00,9,17,26,45,14.00,51,48,88,27,77
211,Male,24.27,23,,,,,,,,,,,,,59,35,,,
212,Female,18.99,23,51,224,50,23,135,129.33,101.67,32,29,44,76,39.73,93,56,116,50,121
214,Female,20.60,16,53,213,43,24,116,121.33,66.67,29,30,43,75,26.67,95,55,95,43,115
215,Male,22.31,8,28,198,39,18,96,126.67,69.33,24,24,29,68,26.33,75,53,82,39,79
216,Female,16.93,17,30,204,40,20,105,109.33,77.33,31,29,35,69,28.33,85,52,110,40,93
217,Male,23.21,14,27,176,35,17,88,120.00,61.33,25,17,37,61,18.67,79,54,113,35,97
218,Female,22.38,18,51,217,45,22,115,138.67,77.73,32,29,42,73,34.24,92,55,104,45,111
219,Male,22.01,14,55,201,38,25,111,108.00,61.33,30,29,38,71,23.00,90,55,88,38,100
220,Male,18.91,17,42,216,40,25,117,129.33,72.00,30,30,41,71,40.00,87,54,104,40,110
221,Male,18.02,17,48,216,48,19,124,121.33,69.33,29,30,40,74,32.00,88,54,95,48,108
222,Female,24.44,,,,,,,112.00,56.00,,,,,,,,,,
223,Female,19.01,16,52,203,38,25,113,121.33,93.85,32,27,40,73,31.00,95,56,107,38,107
224,Female,21.88,21,32,116,31,13,74,120.00,73.33,28,22,29,62,19.33,67,53,101,31,79
225,Male,18.46,-13,45,215,53,25,142,113.33,76.00,30,31,45,76,26.00,89,54,104,53,126
226,Female,21.53,,44,197,37,18,93,80.00,76.00,30,26,36,74,32.73,80,56,116,37,95
227,Female,22.90,15,44,202,29,24,94,114.67,64.00,24,24,40,68,28.67,73,52,67,29,105
228,Female,20.70,20,34,193,30,24,96,117.33,64.00,29,28,43,69,32.33,76,56,85,30,115
229,Female,18.93,15,58,225,48,26,146,156.00,90.73,32,30,43,75,41.41,96,56,110,48,117
230,Male,22.61,20,43,199,39,24,109,124.00,52.00,31,24,36,72,20.33,80,54,79,39,95
231,Female,16.83,14,47,194,38,20,101,124.00,58.67,28,25,37,68,28.00,80,54,110,38,100
232,Male,20.18,19,47,201,33,21,93,129.33,66.67,28,26,39,66,33.84,76,53,125,33,103
233,Female,21.46,13,37,208,37,20,97,116.00,98.31,30,30,40,74,36.84,79,54,101,37,105
234,Male,20.16,-16,33,205,36,15,85,97.33,61.33,31,29,43,70,24.33,84,55,76,36,116
235,Female,20.91,-18,41,208,41,20,103,121.33,58.67,28,28,39,74,25.67,89,55,88,41,103
236,Female,19.93,24,29,170,33,23,99,110.67,61.33,26,21,35,68,22.33,78,53,98,33,92
237,Female,17.90,11,47,214,42,25,121,134.67,98.33,31,29,40,76,33.79,89,55,125,42,108
238,Male,23.11,-1,49,212,40,28,128,156.00,82.67,31,30,41,75,19.67,90,55,119,40,108
239,Male,20.16,19,48,219,47,21,118,141.82,80.00,31,33,41,75,29.67,92,54,104,47,109
240,Female,20.96,20,35,147,28,17,78,124.00,73.64,26,21,30,67,16.00,77,49,101,28,80
241,Male,23.30,18,46,206,36,19,93,141.82,85.50,29,27,41,67,31.67,69,55,116,36,107
242,Female,20.08,20,42,131,33,21,93,120.00,68.00,30,26,33,62,24.00,89,53,107,33,87
243,Male,18.64,9,44,196,37,24,108,125.33,70.67,28,28,40,68,28.67,88,54,113,37,107
244,Male,19.30,14,16,164,27,13,69,62.67,40.00,17,22,25,58,17.67,53,49,61,27,65
245,Male,24.02,13,43,218,45,19,109,114.67,83.18,31,31,44,76,31.67,95,55,95,45,117
247,Female,18.05,22,44,209,43,21,112,138.67,82.33,31,26,40,75,40.99,84,54,101,43,108
248,Male,23.53,4,37,195,36,15,85,118.67,64.00,23,28,35,60,18.33,77,53,101,36,93
249,Female,19.50,12,38,206,38,22,104,98.67,37.33,18,29,38,55,18.67,86,50,67,38,101
250,Female,18.92,21,40,214,47,21,125,148.57,80.00,31,31,42,75,36.30,95,55,116,47,113
251,Female,16.25,-14,53,212,47,24,139,97.33,61.33,28,30,44,68,29.67,89,54,73,47,117
252,Male,24.22,11,39,200,36,23,101,112.00,40.00,19,24,35,65,28.33,64,50,67,36,93
253,Female,23.13,13,52,219,47,25,129,113.33,74.67,30,30,44,75,32.00,91,55,107,47,117
254,Male,24.46,14,36,190,33,16,83,84.00,41.33,25,24,34,58,21.67,74,51,76,33,92
255,Female,24.73,16,48,215,40,24,110,125.33,62.67,24,29,39,74,33.07,86,54,98,40,101
256,Male,21.26,14,,222,43,24,116,128.00,74.67,30,28,41,75,27.00,88,55,85,43,108
257,Male,17.36,10,,178,,,,,,,,,,,59,51,98,,
258,Male,22.29,14,48,218,44,21,111,130.67,80.00,31,30,42,74,23.67,93,53,95,44,111
259,Male,18.70,9,29,192,,,,,,,,,,,71,52,,,
260,Male,22.82,17,,203,39,18,96,110.67,45.33,24,27,37,61,20.33,91,48,,39,97
261,Female,24.87,11,24,206,35,20,94,109.33,53.33,29,28,35,69,28.67,79,55,85,35,94
262,Male,19.26,18,52,205,39,20,102,125.33,53.33,26,28,37,65,25.33,84,55,113,39,98
263,Male,16.50,14,31,178,31,18,87,108.00,45.33,30,23,38,63,16.33,62,55,101,31,103
264,Male,16.50,18,32,169,34,21,98,101.33,56.00,24,24,35,62,18.67,68,55,95,34,96
265,Male,18.83,19,40,201,43,25,123,120.00,88.50,30,23,29,73,30.00,,,107,43,74
266,Male,24.93,17,,,30,21,89,89.33,50.67,28,25,36,62,19.00,,,,30,95
267,Male,17.37,14,,,,,,126.67,58.67,,,,,,79,53,,42,93
268,Female,20.24,16,46,214,,,,168.65,96.67,32,29,41,76,37.22,,,,48,109
