subject,cohort,gender,age,hand,sspan.raw,ppvt.raw,wasi.vocab.raw,wasi.matr.raw,wasi.iq,wj3.watt.raw,wj3.wid.raw,wj3.rcomp.raw,wj3.oralcomp.raw,celf.rs.raw,celf.fs.raw,towre.w.ipm,towre.nw.ipm,wj3.rf.ipm
257,a197,Male,17.36071184,10,,178,,,,,,,,59,51,,,
258,a197,Male,22.29431896,14,48,218,44,21,111,31,74,42,30,93,53,130.6666667,80,23.66666667
259,a197,Male,18.70499658,9,29,192,,,,,,,,71,52,,,
260,a197,Male,22.81998631,17,,203,39,18,96,24,61,37,27,91,48,110.6666667,45.33333333,20.33333333
261,a197,Female,24.86516085,11,24,206,35,20,94,29,69,35,28,79,55,109.3333333,53.33333333,28.66666667
262,a197,Male,19.25530459,18,52,205,39,20,102,26,65,37,28,84,55,125.3333333,53.33333333,25.33333333
263,a197,Male,16.49555099,14,31,178,31,18,87,30,63,38,23,62,55,108,45.33333333,16.33333333
264,a197,Male,16.49555099,18,32,169,34,21,98,24,62,35,24,68,55,101.3333333,56,18.66666667
265,a197,Male,18.83093771,19,40,201,43,25,123,30,73,29,23,,,120,88.5,30
266,a197,Male,24.93086927,17,,,30,21,89,28,62,36,25,,,89.33333333,50.66666667,19
267,a197,Male,17.3744011,14,,,,,,,,,,79,53,126.6666667,58.66666667,
268,a197,Female,20.24093087,16,46,214,,,,32,76,41,29,,,168.6486486,96.66666667,37.21518987
4001,a40,Female,14.33,12,49,212,42,24,125,29,73,39,31,88,54,100,73.33333333,32
4002,a40,Female,18.67,14,54,222,51,25,136,32,76,43,32,70,55,165.7370518,104.8252912,74.21052632
4003,a40,Female,18.67,6,38,210,40,21,105,30,71,36,29,80,51,130.6666667,73.33333333,21.66666667
4004,a40,Male,14.17,10,32,212,34,18,97,26,66,40,27,78,51,110.6666667,70.66666667,20.66666667
4006,a40,Female,15.25,22,,193,37,14,92,,,,,,,117.3333333,65.33333333,
4007,a40,Male,16.67,17,43,209,40,21,106,28,71,41,31,92,54,104,69.33333333,25.33333333
4009,a40,Male,16.33,-7,31,205,42,25,122,31,71,40,28,71,53,128,83.18181818,24.66666667
4010,a40,Male,18.17,24,37,,37,22,102,30,71,36,28,79,53,97.33333333,68,30.66666667
4011,a40,Male,18,19,32,201,27,18,82,28,68,39,28,87,49,121.3333333,72,22
