"SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.t","towre.nw.ipm","towre.nw.ipm.cs","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","nd.rcomp.raw","nd.rcomp.t","decode","Pred1","stdPred1","CDI.1","Pred2","stdPred2","CDI.2"
"178",16.04,-5.256826347,106.67,-1.155096236,65.33,-0.537932924,74,0.537397232,31,0.836122116,212,0.26360814,22,-0.202170189,33,0.069114204,-0.0798774530210415,0.158905928733449,0.208458401692227,-0.0897917247334486,0.531168579509247,0.656778183048903,-0.462054375509247
"181",17.19,-4.106826347,101.33,-1.498878938,54.67,-1.208567613,66,-1.314024046,26,-1.324314587,190,-1.303687962,12,-2.264378153,16,-1.777536936,-1.3364462959362,-1.20152562105736,-1.57620368541808,-0.576011314942635,-1.43870721266594,-1.77892960060661,-0.338829723334055
"182",17.53,-3.766826347,130.67,0.239278341,81.73,0.493812751,75,0.943371987,31,0.836122116,218,0.942685733,25,0.888989635,25,-1.172769761,0.628146298718078,0.796540780684269,1.04493028877232,-1.96931054168427,0.622460041721689,0.769658053939952,-1.79522980272169
"183",22.45,1.153173653,168.65,2.076268365,81.82,0.49947477,71,-0.401870721,32,1.600516112,217,0.819880744,21,-0.511038042,36,0.778669358,0.943597131478579,0.717825513224358,0.941668824765516,0.0608438447756423,0.86347449621315,1.06766708837258,-0.0848051382131506
"184",21.6,0.303173653,148.57,1.151674427,91.58,1.113489269,76,1.405698115,29,-0.305137928,222,1.476230811,26,1.3110607,33,0.069114204,0.841430970730466,1.07029050234757,1.40404482833487,-1.00117629834757,0.721286264031521,0.891854488794114,-0.65217206003152
"185",20.45,-0.846826347,141.82,0.818463468,77.33,0.217002935,76,1.405698115,30,0.207905859,211,0.163152626,22,-0.202170189,36,0.778669358,0.662267594220759,0.36584230065435,0.479924832670087,0.41282705734565,0.539812750209177,0.667466508648263,0.238856607790823
"186",18.69,-2.606826347,140.45,0.749297063,97.06,1.458243311,74,0.537397232,32,1.600516112,210,0.066058202,23,0.133421932,36,0.778669358,1.08636342945968,0.56169214387488,0.736847564295888,0.21697721412512,0.676532033973626,0.836516874647816,0.102137324026374
"187",24.45,3.153173653,120,-0.353073131,84.55,0.671222678,74,0.537397232,29,-0.305137928,211,0.163152626,23,0.133421932,37,1.050590042,0.13760221275094,0.0821699077830834,0.10779338306128,0.968420134216916,0.207731989918644,0.256856004242432,0.842858052081356
"188",19.34,-1.956826347,132,0.310386065,66.67,-0.453631753,75,0.943371987,31,0.836122116,222,1.476230811,24,0.496791987,38,1.34149498,0.409062103718548,0.873555621094563,1.14596107260429,0.467939358905438,0.80841113102995,0.999582456994432,0.53308384897005
"189",22.95,1.653173653,126.67,0.021890491,89.76,0.998990663,74,0.537397232,32,1.600516112,223,1.620810415,25,0.888989635,38,1.34149498,0.789698624460816,1.06160022768358,1.39264461953953,0.279894752316417,0.841673676149166,1.04071085725849,0.499821303850834
"190",21.63,0.333173653,122.67,-0.201031834,87.06,0.829130095,69,-0.845313065,30,0.207905859,209,-0.027772453,23,0.133421932,32,-0.134508775,-0.00232723623063413,-0.0112892612362775,-0.0148096510034139,-0.123219513763723,0.151011336147905,0.186722172235256,-0.285520111147905
"193",22.81,1.513173653,106.67,-1.155096236,66.67,-0.453631753,73,0.181522516,30,0.207905859,199,-0.806343539,22,-0.202170189,33,0.069114204,-0.304824903500526,-0.517078190704513,-0.6783214069906,0.586192394704513,-0.378451578608543,-0.467946994090802,0.447565782608542
"194",20.7,-0.596826347,110.67,-0.906434554,86.51,0.794528868,75,0.943371987,30,0.207905859,210,0.066058202,22,-0.202170189,37,1.050590042,0.259843039982287,0.142195166684807,0.186536634676812,0.908394875315193,0.32824231180444,0.40586434791264,0.72234773019556
"195",22.13,0.833173653,130.67,0.239278341,60,-0.873250268,69,-0.845313065,29,-0.305137928,195,-1.047835247,21,-0.511038042,29,-0.656880793,-0.446105729969533,-0.68791812239074,-0.902435254608883,0.0310373293907394,-0.595582391120723,-0.736424434246241,-0.0612984018792771
"201",22.88,1.583173653,106.67,-1.155096236,62.67,-0.70527704,66,-1.314024046,25,-1.536595565,191,-1.256269574,16,-1.691697891,15,-1.810670766,-1.17774822168251,-1.17966449729408,-1.54752549226095,-0.631006268705922,-1.50452830473774,-1.86031592299547,-0.306142461262256
"202",22.84,1.543173653,109.33,-0.988928653,28,-2.88641256,58,-1.889264824,20,-2.066107352,176,-1.806668114,20,-0.794239493,12,-1.882501508,-1.95767834715826,-1.70811695274893,-2.24076806094118,-0.174384555251075,-2.12880758248702,-2.63222342194987,0.246306074487024
"203",20.92,-0.376826347,129.33,0.167050839,66.67,-0.453631753,68,-1.02448031,29,-0.305137928,215,0.586151095,20,-0.794239493,37,1.050590042,-0.404049787965892,0.0338792564922776,0.0444440035692966,1.01671078550772,0.235947696378426,0.291744100293169,0.814642345621574
"204",22.18,0.883173653,96,-1.85668276,65.33,-0.537932924,61,-1.751574708,21,-2.008955097,187,-1.435620999,19,-1.052836817,20,-1.585934857,-1.5387863721627,-1.36748335522461,-1.7939128941442,-0.218451501775394,-1.71537900775987,-2.12102814687286,0.129444150759867
"207",23.35,2.053173653,147.52,1.100644648,93.02,1.204081572,76,1.405698115,30,0.207905859,220,1.200752758,29,2.766918436,38,1.34149498,0.979582548469844,1.06446989903685,1.39640915562915,0.277025080963149,0.374656072405521,0.463253934816464,0.966838907594479
"208",23.51,2.213173653,129.33,0.167050839,107.63,2.123215981,74,0.537397232,26,-1.324314587,213,0.36752449,21,-0.511038042,38,1.34149498,0.375837366270586,0.255118985067344,0.334674082261024,1.08637599493266,0.374928084027431,0.463590271161813,0.966566895972568
